NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Produto das lavouras temporárias e permanentes (Código),Produto das lavouras temporárias e permanentes
3,Unidade da Federação,1006,Hectares,961956,11,Rondônia,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,961705,11,Rondônia,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,11,Rondônia,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,11,Rondônia,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,10419015,11,Rondônia,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,92287,12,Acre,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,89950,12,Acre,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,12,Acre,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,12,Acre,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,675573,12,Acre,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,120030,13,Amazonas,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,118008,13,Amazonas,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,13,Amazonas,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,13,Amazonas,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,1958870,13,Amazonas,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,150608,14,Roraima,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,150608,14,Roraima,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,14,Roraima,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,14,Roraima,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,1703020,14,Roraima,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,2313220,15,Pará,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,2311915,15,Pará,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,15,Pará,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,15,Pará,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,24365137,15,Pará,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,27260,16,Amapá,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,27184,16,Amapá,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,16,Amapá,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,16,Amapá,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,162930,16,Amapá,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,1885158,17,Tocantins,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,1873313,17,Tocantins,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,17,Tocantins,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,17,Tocantins,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,15159365,17,Tocantins,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,1921234,21,Maranhão,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,1920950,21,Maranhão,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,21,Maranhão,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,21,Maranhão,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,14840933,21,Maranhão,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,1887023,22,Piauí,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,1882048,22,Piauí,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,22,Piauí,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,22,Piauí,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,13046811,22,Piauí,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,1441140,23,Ceará,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,1440333,23,Ceará,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,23,Ceará,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,23,Ceará,2022,2022,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,5181728,23,Ceará,2022,2022,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,318033,24,Rio Grande do Norte,2022,2022,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,303246,24,Rio Grande do Norte,2022,2022,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,24,Rio Grande do Norte,2022,2022,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,24,Rio Grande do Norte,2022,2022,112,Rendimento médio da produção,0,Total
