NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Produto das lavouras temporárias e permanentes (Código),Produto das lavouras temporárias e permanentes
3,Unidade da Federação,1006,Hectares,1096993,11,Rondônia,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,1095562,11,Rondônia,2023,2023,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,11,Rondônia,2023,2023,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,11,Rondônia,2023,2023,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,11260885,11,Rondônia,2023,2023,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,97469,12,Acre,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,95060,12,Acre,2023,2023,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,12,Acre,2023,2023,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,12,Acre,2023,2023,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,738964,12,Acre,2023,2023,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,132043,13,Amazonas,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,124524,13,Amazonas,2023,2023,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,13,Amazonas,2023,2023,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,13,Amazonas,2023,2023,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,2425204,13,Amazonas,2023,2023,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,175947,14,Roraima,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,175947,14,Roraima,2023,2023,216,Área colhida,0,Total
3,Unidade da Federação,1017,Toneladas,..,14,Roraima,2023,2023,214,Quantidade produzida,0,Total
3,Unidade da Federação,33,Quilogramas por Hectare,..,14,Roraima,2023,2023,112,Rendimento médio da produção,0,Total
3,Unidade da Federação,40,Mil Reais,1637770,14,Roraima,2023,2023,215,Valor da produção,0,Total
3,Unidade da Federação,1006,Hectares,2548193,15,Pará,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
3,Unidade da Federação,1006,Hectares,2543535,15,Pará,2023,2023,216,Área colhida,0,Total
