NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Produto das lavouras temporárias e permanentes (Código),Produto das lavouras temporárias e permanentes
6,Município,1006,Hectares,11167,1100015,Alta Floresta D'Oeste - RO,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
6,Município,1006,Hectares,11165,1100015,Alta Floresta D'Oeste - RO,2023,2023,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100015,Alta Floresta D'Oeste - RO,2023,2023,214,Quantidade produzida,0,Total
6,Município,33,Quilogramas por Hectare,..,1100015,Alta Floresta D'Oeste - RO,2023,2023,112,Rendimento médio da produção,0,Total
6,Município,40,Mil Reais,309791,1100015,Alta Floresta D'Oeste - RO,2023,2023,215,Valor da produção,0,Total
6,Município,1006,Hectares,16582,1100023,Ariquemes - RO,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
6,Município,1006,Hectares,16582,1100023,Ariquemes - RO,2023,2023,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100023,Ariquemes - RO,2023,2023,214,Quantidade produzida,0,Total
6,Município,33,Quilogramas por Hectare,..,1100023,Ariquemes - RO,2023,2023,112,Rendimento médio da produção,0,Total
6,Município,40,Mil Reais,150934,1100023,Ariquemes - RO,2023,2023,215,Valor da produção,0,Total
6,Município,1006,Hectares,52211,1100031,Cabixi - RO,2023,2023,8331,Área plantada ou destinada à colheita,0,Total
6,Município,1006,Hectares,52211,1100031,Cabixi - RO,2023,2023,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100031,Cabixi - RO,2023,2023,214,Quantidade produzida,0,Total
6,Município,33,Quilogramas por Hectare,..,1100031,Cabixi - RO,2023,2023,112,Rendimento médio da produção,0,Total
6,Município,40,Mil Reais,376327,1100031,Cabixi - RO,2023,2023,215,Valor da produção,0,Total
